,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,FALSE
Pidgey,Normal,Flying,Keen Eye,Tangled Feet*,Big Pecks,Flying,—,016,4080,40,45,40,35,35,56,251,41.83,FALSE
Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet*,Big Pecks,Flying,—,016,4080,63,60,55,50,50,71,349,58.17,FALSE
Pidgeot,Normal,Flying,Keen Eye,Tangled Feet*,Big Pecks,Flying,—,016,4080,83,80,75,70,70,101,479,79.83,FALSE
Rattata,Normal,—,Run Away,Guts,Hustle,Field,—,016,4080,30,56,35,25,35,72,253,42.17,FALSE
Rattata (Alolan),Dark,Normal,Gluttony,Hustle,Thick Fat,Field,—,016,4080,30,56,35,25,35,72,253,42.17,TRUE
Raticate,Normal,—,Run Away,Guts,Hustle,Field,—,016,4080,55,81,60,50,70,97,413,68.83,FALSE
Raticate (Alolan),Dark,Normal,Gluttony,Hustle,Thick Fat,Field,—,016,4080,75,71,70,40,80,77,413,68.83,TRUE
Spearow,Normal,Flying,Keen Eye,—,Sniper,Flying,—,016,4080,40,60,30,31,31,70,262,43.67,FALSE
Fearow,Normal,Flying,Keen Eye,—,Sniper,Flying,—,016,4080,65,90,65,61,61,100,442,73.67,FALSE
Ekans,Poison,—,Intimidate,Shed Skin,Unnerve,Field,Dragon,021,5355,35,60,44,40,54,55,288,48.00,FALSE
Arbok,Poison,—,Intimidate,Shed Skin,Unnerve,Field,Dragon,021,5355,60,95,69,65,79,80,448,74.67,FALSE
Pikachu,Electric,—,Static,—,Lightning Rod,Field,Fairy,021,5355,35,55,40,50,50,90,320,53.33,FALSE
Raichu,Electric,—,Static,—,Lightning Rod,Field,Fairy,021,5355,60,90,55,90,80,110,485,80.83,FALSE
Raichu (Alolan),Electric,Psychic,Surge Surfer,—,—,Field,Fairy,021,5355,60,85,50,95,85,110,485,80.83,TRUE
Sandshrew,Ground,—,Sand Veil,—,Sand Rush,Field,—,021,5355,50,75,85,20,30,40,300,50.00,FALSE
Sandshrew (Alolan),Ice,Steel,Snow Cloak,—,Slush Rush,Field,—,021,5355,50,75,90,10,35,40,300,50.00,TRUE
Sandslash,Ground,—,Sand Veil,—,Sand Rush,Field,—,021,5355,75,100,110,45,55,65,450,75.00,FALSE
Sandslash (Alolan),Ice,Steel,Snow Cloak,—,Slush Rush,Field,—,021,5355,75,100,120,25,65,65,450,75.00,TRUE
Nidoran♀,Poison,—,Poison Point,Rivalry*,Hustle,Monster,Field,021,5355,55,47,52,40,40,41,275,45.83,FALSE
Nidorina,Poison,—,Poison Point,Rivalry*,Hustle,Undiscovered,—,021,5355,70,62,67,55,55,56,365,60.83,FALSE
Nidoqueen,Poison,Ground,Poison Point,Rivalry*,Sheer Force,Undiscovered,—,021,5355,90,92,87,75,85,76,505,84.17,FALSE
Nidoran♂,Poison,—,Poison Point,Rivalry*,Hustle,Monster,Field,021,5355,46,57,40,40,40,50,273,45.50,FALSE
Nidorino,Poison,—,Poison Point,Rivalry*,Hustle,Monster,Field,021,5355,61,72,57,55,55,65,365,60.83,FALSE
Nidoking,Poison,Ground,Poison Point,Rivalry*,Sheer Force,Monster,Field,021,5355,81,102,77,85,75,85,505,84.17,FALSE
Clefairy,Fairy,—,Cute Charm,Magic Guard*,Friend Guard,Fairy,—,021,5355,70,45,48,60,65,35,323,53.83,FALSE
Clefable,Fairy,—,Cute Charm,Magic Guard*,Unaware,Fairy,—,021,5355,95,70,73,95,90,60,483,80.50,FALSE
Vulpix,Fire,—,Flash Fire,—,Drought,Field,—,021,5355,38,41,40,50,65,65,299,49.83,FALSE
Vulpix (Alolan),Ice,—,Snow Cloak,—,Snow Warning,Field,—,021,5355,38,41,40,50,65,65,299,49.83,TRUE
Ninetales,Fire,—,Flash Fire,—,Drought,Field,—,021,5355,73,76,75,81,100,100,505,84.17,FALSE
Ninetales (Alolan),Ice,Fairy,Snow Cloak,—,Snow Warning,Field,—,021,5355,73,67,75,81,100,109,505,84.17,TRUE
Jigglypuff,Normal,Fairy,Cute Charm,Competitive*,Friend Guard,Fairy,—,021,5355,115,45,20,45,25,20,270,45.00,FALSE
Wigglytuff,Normal,Fairy,Cute Charm,Competitive*,Frisk,Fairy,—,021,5355,140,70,45,85,50,45,435,72.50,FALSE
Zubat,Poison,Flying,Inner Focus,—,Infiltrator,Flying,—,016,4080,40,45,35,30,40,55,245,40.83,FALSE
Golbat,Poison,Flying,Inner Focus,—,Infiltrator,Flying,—,016,4080,75,80,70,65,75,90,455,75.83,FALSE
Oddish,Grass,Poison,Chlorophyll,—,Run Away,Grass,—,021,5355,45,50,55,75,65,30,320,53.33,FALSE
Gloom,Grass,Poison,Chlorophyll,—,Stench,Grass,—,021,5355,60,65,70,85,75,40,395,65.83,FALSE
Vileplume,Grass,Poison,Chlorophyll,—,Effect Spore,Grass,—,021,5355,75,80,85,110,90,50,490,81.67,FALSE
Paras,Bug,Grass,Effect Spore,Dry Skin*,Damp,Bug,Grass,021,5355,35,70,55,45,55,25,285,47.50,FALSE
Parasect,Bug,Grass,Effect Spore,Dry Skin*,Damp,Bug,Grass,021,5355,60,95,80,60,80,30,405,67.50,FALSE
Venonat,Bug,Poison,Compound Eyes,Tinted Lens*,Run Away,Bug,—,021,5355,60,55,50,40,55,45,305,50.83,FALSE
Venomoth,Bug,Poison,Shield Dust,Tinted Lens*,Wonder Skin,Bug,—,021,5355,70,65,60,90,75,90,450,75.00,FALSE
Diglett,Ground,—,Sand Veil,Arena Trap,Sand Force,Field,—,021,5355,10,55,25,35,45,95,265,44.17,FALSE
Diglett (Alolan),Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Field,—,021,5355,10,55,30,35,45,90,265,44.17,TRUE
Dugtrio,Ground,—,Sand Veil,Arena Trap,Sand Force,Field,—,021,5355,35,100,50,50,70,120,425,70.83,FALSE
Dugtrio (Alolan),Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Field,—,021,5355,35,100,60,50,70,110,425,70.83,TRUE
Meowth,Normal,—,Pickup,Technician,Unnerve,Field,—,021,5355,40,45,35,40,40,90,290,48.33,FALSE
Meowth (Alolan),Dark,—,Pickup,Technician,Rattled,Field,—,021,5355,40,35,35,50,40,90,290,48.33,TRUE
Persian,Normal,—,Limber,Technician,Unnerve,Field,—,021,5355,65,70,60,65,65,115,440,73.33,FALSE
Persian (Alolan),Dark,—,Fur Coat,Technician,Rattled,Field,—,021,5355,65,60,60,75,65,115,440,73.33,TRUE
Psyduck,Water,—,Damp,Cloud Nine,Swift Swim,Water 1,Field,021,5355,50,52,48,65,50,55,320,53.33,FALSE
Golduck,Water,—,Damp,Cloud Nine,Swift Swim,Water 1,Field,021,5355,80,82,78,95,80,85,500,83.33,FALSE
Mankey,Fighting,—,Vital Spirit,Anger Point*,Defiant,Field,—,021,5355,40,80,35,35,45,70,305,50.83,FALSE
Primeape,Fighting,—,Vital Spirit,Anger Point*,Defiant,Field,—,021,5355,65,105,60,60,70,95,455,75.83,FALSE
Growlithe,Fire,—,Intimidate,Flash Fire,Justified,Field,—,021,5355,55,70,45,70,50,60,350,58.33,FALSE
Arcanine,Fire,—,Intimidate,Flash Fire,Justified,Field,—,021,5355,90,110,80,100,80,95,555,92.50,FALSE
Poliwag,Water,—,Water Absorb,Damp,Swift Swim,Water 1,—,021,5355,40,50,40,40,40,90,300,50.00,FALSE
Poliwhirl,Water,—,Water Absorb,Damp,Swift Swim,Water 1,—,021,5355,65,65,65,50,50,90,385,64.17,FALSE
Poliwrath,Water,Fighting,Water Absorb,Damp,Swift Swim,Water 1,—,021,5355,90,95,95,70,90,70,510,85.00,FALSE
Abra,Psychic,—,Synchronize,Inner Focus,Magic Guard,Human-Like,—,021,5355,25,20,15,105,55,90,310,51.67,FALSE
Kadabra,Psychic,—,Synchronize,Inner Focus,Magic Guard,Human-Like,—,021,5355,40,35,30,120,70,105,400,66.67,FALSE
Alakazam,Psychic,—,Synchronize,Inner Focus,Magic Guard,Human-Like,—,021,5355,55,50,45,135,95,120,500,83.33,FALSE
Alakazam (Mega),Psychic,—,Synchronize,Inner Focus,Magic Guard,Human-Like,—,021,5355,55,50,65,175,105,150,600,100.00,TRUE
Machop,Fighting,—,Guts,No Guard*,Steadfast,Human-Like,—,021,5355,70,80,50,35,35,35,305,50.83,FALSE
Machoke,Fighting,—,Guts,No Guard*,Steadfast,Human-Like,—,021,5355,80,100,70,50,60,45,405,67.50,FALSE
Machamp,Fighting,—,Guts,No Guard*,Steadfast,Human-Like,—,021,5355,90,130,80,65,85,55,505,84.17,FALSE
Bellsprout,Grass,Poison,Chlorophyll,—,Gluttony,Grass,—,021,5355,50,75,35,70,30,40,300,50.00,FALSE
Weepinbell,Grass,Poison,Chlorophyll,—,Gluttony,Grass,—,021,5355,65,90,50,85,45,55,390,65.00,FALSE
Victreebel,Grass,Poison,Chlorophyll,—,Gluttony,Grass,—,021,5355,80,105,65,100,70,70,490,81.67,FALSE
Tentacool,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Water 3,—,021,5355,40,40,35,50,100,70,335,55.83,FALSE
Tentacruel,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Water 3,—,021,5355,80,70,65,80,120,100,515,85.83,FALSE
Geodude,Rock,Ground,Rock Head,Sturdy,Sand Veil,Mineral,—,016,4080,40,80,100,30,30,20,300,50.00,FALSE
Geodude (Alolan),Rock,Electric,Magnet Pull,Sturdy,Galvanize,Mineral,—,016,4080,40,80,100,30,30,20,300,50.00,TRUE
Graveler,Rock,Ground,Rock Head,Sturdy,Sand Veil,Mineral,—,016,4080,55,95,115,45,45,35,390,65.00,FALSE
Graveler (Alolan),Rock,Electric,Magnet Pull,Sturdy,Galvanize,Mineral,—,016,4080,55,95,115,45,45,35,390,65.00,TRUE
Golem,Rock,Ground,Rock Head,Sturdy,Sand Veil,Mineral,—,016,4080,80,120,130,55,65,45,495,82.50,FALSE
Golem (Alolan),Rock,Electric,Magnet Pull,Sturdy,Galvanize,Mineral,—,016,4080,80,120,130,55,65,45,495,82.50,TRUE
Ponyta,Fire,—,Run Away,Flash Fire,Flame Body,Field,—,021,5355,50,85,55,65,65,90,410,68.33,FALSE
Rapidash,Fire,—,Run Away,Flash Fire,Flame Body,Field,—,021,5355,65,100,70,80,80,105,500,83.33,FALSE
Slowpoke,Water,Psychic,Oblivious,Own Tempo,Regenerator,Monster,Water 1,021,5355,90,65,65,40,40,15,315,52.50,FALSE
Slowbro,Water,Psychic,Oblivious,Own Tempo,Regenerator,Monster,Water 1,021,5355,95,75,110,100,80,30,490,81.67,FALSE
Magnemite,Electric,Steel,Magnet Pull,Sturdy,Analytic,Mineral,—,021,5355,25,35,70,95,55,45,325,54.17,FALSE
Magneton,Electric,Steel,Magnet Pull,Sturdy,Analytic,Mineral,—,021,5355,50,60,95,120,70,70,465,77.50,FALSE
Farfetch'd,Normal,Flying,Keen Eye,Inner Focus,Defiant,Flying,Field,021,5355,52,90,55,58,62,60,377,62.83,FALSE
Doduo,Normal,Flying,Run Away,Early Bird,Tangled Feet,Flying,—,021,5355,35,85,45,35,35,75,310,51.67,FALSE
Dodrio,Normal,Flying,Run Away,Early Bird,Tangled Feet,Flying,—,021,5355,60,110,70,60,60,110,470,78.33,FALSE
Seel,Water,—,Thick Fat,Hydration*,Ice Body,Water 1,Field,021,5355,65,45,55,45,70,45,325,54.17,FALSE
Dewgong,Water,Ice,Thick Fat,Hydration*,Ice Body,Water 1,Field,021,5355,90,70,80,70,95,70,475,79.17,FALSE
Grimer,Poison,—,Stench,Sticky Hold,Poison Touch,Amorphous,—,021,5120,80,80,50,40,50,25,325,54.17,FALSE
Grimer (Alolan),Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Amorphous,—,021,5120,80,80,50,40,50,25,325,54.17,TRUE
Muk,Poison,—,Stench,Sticky Hold,Poison Touch,Amorphous,—,021,5120,105,105,75,65,100,50,500,83.33,FALSE
Muk (Alolan),Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Amorphous,—,021,5120,105,105,75,65,100,50,500,83.33,TRUE
Shellder,Water,—,Shell Armor,Skill Link*,Overcoat,Water 3,—,021,5355,30,65,100,45,25,40,305,50.83,FALSE
Cloyster,Water,Ice,Shell Armor,Skill Link*,Overcoat,Water 3,—,021,5355,50,95,180,85,45,70,525,87.50,FALSE
Gastly,Ghost,Poison,Levitate,—,—,Amorphous,—,021,5355,30,35,30,100,35,80,310,51.67,FALSE
Haunter,Ghost,Poison,Levitate,—,—,Amorphous,—,021,5355,45,50,45,115,55,95,405,67.50,FALSE
Gengar,Ghost,Poison,Levitate,—,—,Amorphous,—,021,5355,60,65,60,130,75,110,500,83.33,FALSE
Onix,Rock,Ground,Rock Head,Sturdy,Weak Armor,Mineral,—,026,6630,35,45,160,30,45,70,385,64.17,FALSE
Drowzee,Psychic,—,Insomnia,Forewarn*,Inner Focus,Human-Like,—,021,5355,60,48,45,43,90,42,328,54.67,FALSE
Hypno,Psychic,—,Insomnia,Forewarn*,Inner Focus,Human-Like,—,021,5355,85,73,70,73,115,67,483,80.50,FALSE
Krabby,Water,—,Hyper Cutter,Shell Armor,Sheer Force,Water 3,—,021,5355,30,105,90,25,25,50,325,54.17,FALSE
Kingler,Water,—,Hyper Cutter,Shell Armor,Sheer Force,Water 3,—,021,5355,55,130,115,50,50,75,475,79.17,FALSE
Voltorb,Electric,—,Soundproof,Static,Aftermath,Mineral,—,021,5355,40,30,50,55,55,100,330,55.00,FALSE
Electrode,Electric,—,Soundproof,Static,Aftermath,Mineral,—,021,5355,60,50,70,80,80,150,490,81.67,FALSE
Exeggcute,Grass,Psychic,Chlorophyll,—,Harvest,Grass,—,021,5120,60,40,80,60,45,40,325,54.17,FALSE
Exeggutor,Grass,Psychic,Chlorophyll,—,Harvest,Grass,—,021,5120,95,95,85,125,75,55,530,88.33,FALSE
Exeggutor (Alolan),Grass,Dragon,Frisk,—,Harvest,Grass,—,021,5120,95,105,85,125,75,45,530,88.33,TRUE
Cubone,Ground,—,Rock Head,Lightning Rod,Battle Armor,Monster,—,021,5120,50,50,95,40,50,35,320,53.33,FALSE
Marowak,Ground,—,Rock Head,Lightning Rod,Battle Armor,Monster,—,021,5120,60,80,110,50,80,45,425,70.83,FALSE
Marowak,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,Monster,—,021,5120,60,80,110,50,80,45,425,70.83,TRUE
Hitmonlee,Fighting,—,Limber,Reckless*,Unburden,Human-Like,—,026,6630,50,120,53,35,110,87,455,75.83,FALSE
Hitmonchan,Fighting,—,Keen Eye,Iron Fist*,Inner Focus,Human-Like,—,026,6630,50,105,79,35,110,76,455,75.83,FALSE
Lickitung,Normal,—,Own Tempo,Oblivious,Cloud Nine,Monster,—,021,5355,90,55,75,60,75,30,385,64.17,FALSE
Koffing,Poison,—,Levitate,—,—,Amorphous,—,021,5355,40,65,95,60,45,35,340,56.67,FALSE
Weezing,Poison,—,Levitate,—,—,Amorphous,—,021,5355,65,90,120,85,70,60,490,81.67,FALSE
Rhyhorn,Ground,Rock,Lightning Rod,Rock Head,Reckless,Monster,Field,021,5355,80,85,95,30,30,25,345,57.50,FALSE
Rhydon,Ground,Rock,Lightning Rod,Rock Head,Reckless,Monster,Field,021,5355,105,130,120,45,45,40,485,80.83,FALSE
Chansey,Normal,—,Natural Cure,Serene Grace,Healer,Fairy,—,041,10455,250,5,5,35,105,50,450,75.00,FALSE
Tangela,Grass,—,Chlorophyll,Leaf Guard*,Regenerator,Grass,—,021,5355,65,55,115,100,40,60,435,72.50,FALSE
Kangaskhan,Normal,—,Early Bird,Scrappy*,Inner Focus,Monster,—,021,5355,105,95,80,40,80,90,490,81.67,FALSE
Horsea,Water,—,Swift Swim,Sniper*,Damp,Water 1,Dragon,021,5355,30,40,70,70,25,60,295,49.17,FALSE
Seadra,Water,—,Poison Point,Sniper*,Damp,Water 1,Dragon,021,5355,55,65,95,95,45,85,440,73.33,FALSE
Goldeen,Water,—,Swift Swim,Water Veil,Lightning Rod,Water 2,—,021,5355,45,67,60,35,50,63,320,53.33,FALSE
Seaking,Water,—,Swift Swim,Water Veil,Lightning Rod,Water 2,—,021,5355,80,92,65,65,80,68,450,75.00,FALSE
Staryu,Water,—,Illuminate,Natural Cure,Analytic,Water 3,—,021,5355,30,45,55,70,55,85,340,56.67,FALSE
Starmie,Water,Psychic,Illuminate,Natural Cure,Analytic,Water 3,—,021,5355,60,75,85,100,85,115,520,86.67,FALSE
Mr. Mime,Psychic,Fairy,Soundproof,Filter*,Technician,Human-Like,—,026,6630,40,45,65,100,120,90,460,76.67,FALSE
Scyther,Bug,Flying,Swarm,Technician*,Steadfast,Bug,—,026,6630,70,110,80,55,80,105,500,83.33,FALSE
Jynx,Ice,Psychic,Oblivious,Forewarn*,Dry Skin,Human-Like,—,026,6630,65,50,35,115,95,95,455,75.83,FALSE
Electabuzz,Electric,—,Static,—,Vital Spirit,Human-Like,—,026,6630,65,83,57,95,85,105,490,81.67,FALSE
Magmar,Fire,—,Flame Body,—,Vital Spirit,Human-Like,—,026,6630,65,95,57,100,85,93,495,82.50,FALSE
Pinsir,Bug,—,Hyper Cutter,Mold Breaker*,Moxie,Bug,—,026,6630,65,125,100,55,70,85,500,83.33,FALSE
Tauros,Normal,—,Intimidate,Anger Point*,Sheer Force,Field,—,021,5355,75,100,95,40,70,110,490,81.67,FALSE
Magikarp,Water,—,Swift Swim,—,Rattled,Water 2,Dragon,006,1530,20,10,55,15,20,80,200,33.33,FALSE
Gyarados,Water,Flying,Intimidate,—,Moxie,Water 2,Dragon,006,1530,95,125,79,60,100,81,540,90.00,FALSE
Lapras,Water,Ice,Water Absorb,Shell Armor,Hydration,Monster,Water 1,041,10455,130,85,80,85,95,60,535,89.17,FALSE
Ditto,Normal,—,Limber,—,Imposter,Ditto,—,021,5355,48,48,48,48,48,48,288,48.00,FALSE
Eevee,Normal,—,Run Away,Adaptability*,Anticipation,Field,—,036,9180,55,55,50,45,65,55,325,54.17,FALSE
Vaporeon,Water,—,Water Absorb,—,Hydration,Field,—,036,9180,130,65,60,110,95,65,525,87.50,FALSE
Jolteon,Electric,—,Volt Absorb,—,Quick Feet,Field,—,036,9180,65,65,60,110,95,130,525,87.50,FALSE
Flareon,Fire,—,Flash Fire,—,Guts,Field,—,036,9180,65,130,60,95,110,65,525,87.50,FALSE
Porygon,Normal,—,Trace,Download*,Analytic,Mineral,—,021,5355,65,60,70,85,75,40,395,65.83,FALSE
Omanyte,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Water 1,Water 3,031,7905,35,40,100,90,55,35,355,59.17,FALSE
Omastar,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Water 1,Water 3,031,7905,70,60,125,115,70,55,495,82.50,FALSE
Kabuto,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Water 1,Water 3,031,7905,30,80,90,55,45,55,355,59.17,FALSE
Kabutops,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Water 1,Water 3,031,7905,60,115,105,65,70,80,495,82.50,FALSE
Aerodactyl,Rock,Flying,Rock Head,Pressure,Unnerve,Flying,—,031,7905,80,105,65,60,75,130,515,85.83,FALSE
Snorlax,Normal,—,Immunity,Thick Fat,Gluttony,Monster,—,041,10455,160,110,65,65,110,30,540,90.00,FALSE
Articuno,Ice,Flying,Pressure,—,Snow Cloak,Undiscovered,—,081,20655,90,85,100,95,125,85,580,96.67,FALSE
Zapdos,Electric,Flying,Pressure,—,Static,Undiscovered,—,081,20655,90,90,85,125,90,100,580,96.67,FALSE
Moltres,Fire,Flying,Pressure,—,Flame Body,Undiscovered,—,081,20655,90,100,90,125,85,90,580,96.67,FALSE
Dratini,Dragon,—,Shed Skin,—,Marvel Scale,Water 1,Dragon,041,10455,41,64,45,50,50,50,300,50.00,FALSE
Dragonair,Dragon,—,Shed Skin,—,Marvel Scale,Water 1,Dragon,041,10455,61,84,65,70,70,70,420,70.00,FALSE
Dragonite,Dragon,Flying,Inner Focus,—,Multiscale,Water 1,Dragon,041,10455,91,134,95,100,100,80,600,100.00,FALSE
Mewtwo,Psychic,—,Pressure,—,Unnerve,Undiscovered,—,121,30855,106,110,90,154,90,130,680,113.33,FALSE
Mew,Psychic,—,Synchronize,—,—,Undiscovered,—,121,30855,100,100,100,100,100,100,600,100.00,FALSE
Chikorita,Grass,—,Overgrow,—,Leaf Guard,Monster,Grass,021,5355,45,49,65,49,65,45,318,53.00,FALSE
Bayleef,Grass,—,Overgrow,—,Leaf Guard,Monster,Grass,021,5355,60,62,80,63,80,60,405,67.50,FALSE
Meganium,Grass,—,Overgrow,—,Leaf Guard,Monster,Grass,021,5355,80,82,100,83,100,80,525,87.50,FALSE
Cyndaquil,Fire,—,Blaze,—,Flash Fire,Field,—,021,5355,39,52,43,60,50,65,309,51.50,FALSE
Quilava,Fire,—,Blaze,—,Flash Fire,Field,—,021,5355,58,64,58,80,65,80,405,67.50,FALSE
Typhlosion,Fire,—,Blaze,—,Flash Fire,Field,—,021,5355,78,84,78,109,85,100,534,89.00,FALSE
Totodile,Water,—,Torrent,—,Sheer Force,Monster,Water 1,021,5355,50,65,64,44,48,43,314,52.33,FALSE
Croconaw,Water,—,Torrent,—,Sheer Force,Monster,Water 1,021,5355,65,80,80,59,63,58,405,67.50,FALSE
Feraligatr,Water,—,Torrent,—,Sheer Force,Monster,Water 1,021,5355,85,105,100,79,83,78,530,88.33,FALSE
Sentret,Normal,—,Run Away,Keen Eye,Frisk,Field,—,016,4080,35,46,34,35,45,20,215,35.83,FALSE
Furret,Normal,—,Run Away,Keen Eye,Frisk,Field,—,016,4080,85,76,64,45,55,90,415,69.17,FALSE
Hoothoot,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,Flying,—,016,4080,60,30,30,36,56,50,262,43.67,FALSE
Noctowl,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,Flying,—,016,4080,100,50,50,86,96,70,452,75.33,FALSE
Ledyba,Bug,Flying,Swarm,Early Bird,Rattled,Bug,—,016,4080,40,20,30,40,80,55,265,44.17,FALSE
Ledian,Bug,Flying,Swarm,Early Bird,Iron Fist,Bug,—,016,4080,55,35,50,55,110,85,390,65.00,FALSE
Spinarak,Bug,Poison,Swarm,Insomnia,Sniper,Bug,—,016,4080,40,60,40,40,40,30,250,41.67,FALSE
Ariados,Bug,Poison,Swarm,Insomnia,Sniper,Bug,—,016,4080,70,90,70,60,70,40,400,66.67,FALSE
Crobat,Poison,Flying,Inner Focus,—,Infiltrator,Flying,—,016,4080,85,90,80,70,80,130,535,89.17,FALSE
Chinchou,Water,Electric,Volt Absorb,Illuminate,Water Absorb,Water 2,—,021,5355,75,38,38,56,56,67,330,55.00,FALSE
Lanturn,Water,Electric,Volt Absorb,Illuminate,Water Absorb,Water 2,—,021,5355,125,58,58,76,76,67,460,76.67,FALSE
Pichu,Electric,—,Static,—,Lightning Rod,Undiscovered,—,021,5355,20,40,15,35,35,60,205,34.17,FALSE
Cleffa,Fairy,—,Cute Charm,Magic Guard*,Friend Guard,Undiscovered,—,021,5355,50,25,28,45,55,15,218,36.33,FALSE
Igglybuff,Normal,Fairy,Cute Charm,Competitive*,Friend Guard,Undiscovered,—,021,5355,90,30,15,40,20,15,210,35.00,FALSE
Togepi,Fairy,—,Hustle,Serene Grace,Super Luck,Undiscovered,—,011,2805,35,20,65,40,65,20,245,40.83,FALSE
Togetic,Fairy,Flying,Hustle,Serene Grace,Super Luck,Flying,Fairy,011,2805,55,40,85,80,105,40,405,67.50,FALSE
Natu,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,Flying,—,021,5355,40,50,45,70,45,70,320,53.33,FALSE
Xatu,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,Flying,—,021,5355,65,75,70,95,70,95,470,78.33,FALSE
Mareep,Electric,—,Static,—,Plus,Monster,Field,021,5355,55,40,40,65,45,35,280,46.67,FALSE
Flaaffy,Electric,—,Static,—,Plus,Monster,Field,021,5355,70,55,55,80,60,45,365,60.83,FALSE
Ampharos,Electric,—,Static,—,Plus,Monster,Field,021,5355,90,75,85,115,90,55,510,85.00,FALSE
Bellossom,Grass,—,Chlorophyll,—,Healer,Grass,—,021,5355,75,80,95,90,100,50,490,81.67,FALSE
Marill,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,Water 1,Fairy,011,2805,70,20,50,20,50,40,250,41.67,FALSE
Azumarill,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,Water 1,Fairy,011,2805,100,50,80,60,80,50,420,70.00,FALSE
Sudowoodo,Rock,—,Sturdy,Rock Head,Rattled,Mineral,—,021,5355,70,100,115,30,65,30,410,68.33,FALSE
Politoed,Water,—,Water Absorb,Damp,Drizzle,Water 1,—,021,5355,90,75,75,90,100,70,500,83.33,FALSE
Hoppip,Grass,Flying,Chlorophyll,Leaf Guard*,Infiltrator,Fairy,Grass,021,5355,35,35,40,35,55,50,250,41.67,FALSE
Skiploom,Grass,Flying,Chlorophyll,Leaf Guard*,Infiltrator,Fairy,Grass,021,5355,55,45,50,45,65,80,340,56.67,FALSE
Jumpluff,Grass,Flying,Chlorophyll,Leaf Guard*,Infiltrator,Fairy,Grass,021,5355,75,55,70,55,95,110,460,76.67,FALSE
Aipom,Normal,—,Run Away,Pickup,Skill Link,Field,—,021,5355,55,70,55,40,55,85,360,60.00,FALSE
Sunkern,Grass,—,Chlorophyll,Solar Power*,Early Bird,Grass,—,021,5355,30,30,30,30,30,30,180,30.00,FALSE
Sunflora,Grass,—,Chlorophyll,Solar Power*,Early Bird,Grass,—,021,5355,75,75,55,105,85,30,425,70.83,FALSE
Yanma,Bug,Flying,Speed Boost,Compound Eyes,Frisk,Bug,—,021,5355,65,65,45,75,45,95,390,65.00,FALSE
